Wavenumber;Intensity
1218,8395;0,015166
1220,7031;0,015433
1222,5668;0,016062
1224,4305;0,015920
1226,2941;0,015546
1228,1578;0,016465
1230,0215;0,017209
1231,8852;0,017358
1233,7488;0,017978
1235,6125;0,018795
1237,4762;0,018858
1239,3398;0,019072
1241,2035;0,019792
1243,0672;0,020291
1244,9308;0,020327
1246,7945;0,020103
1248,6582;0,020575
1250,5218;0,020591
1252,3855;0,018879
1254,2492;0,017184
1256,1129;0,015056
1257,9765;0,012148
1259,8402;0,010649
1261,7039;0,012450
1263,5675;0,016132
1265,4312;0,020533
1267,2949;0,025741
1269,1585;0,030163
1271,0222;0,034255
1272,8859;0,039008
1274,7495;0,042590
1276,6132;0,045130
1278,4769;0,048807
1280,3405;0,053660
1282,2042;0,058268
1284,0679;0,062811
1285,9316;0,067532
1287,7952;0,072439
1289,6589;0,077566
1291,5226;0,083078
1293,3862;0,088379
1295,2499;0,092046
1297,1136;0,095580
1298,9772;0,100041
1300,8409;0,102826
1302,7046;0,103135
1304,5682;0,103560
1306,4319;0,104299
1308,2956;0,103733
1310,1592;0,102186
1312,0229;0,099940
1313,8866;0,095813
1315,7503;0,091250
1317,6139;0,086817
1319,4776;0,081494
1321,3413;0,075516
1323,2049;0,070040
1325,0686;0,065698
1326,9323;0,062561
1328,7959;0,060600
1330,6596;0,060279
1332,5233;0,062134
1334,3869;0,066209
1336,2506;0,071193
1338,1143;0,075666
1339,9780;0,077115
1341,8416;0,074091
1343,7053;0,067555
1345,5690;0,060063
1347,4326;0,053680
1349,2963;0,049405
1351,1600;0,047904
1353,0236;0,049175
1354,8873;0,052820
1356,7510;0,059226
1358,6146;0,069573
1360,4783;0,084168
1362,3420;0,100849
1364,2056;0,116882
1366,0693;0,128417
1367,9330;0,132365
1369,7967;0,131245
1371,6603;0,131930
1373,5240;0,139104
1375,3877;0,152267
1377,2513;0,163766
1379,1150;0,161798
1380,9787;0,143152
1382,8423;0,116951
1384,7060;0,093606
1386,5697;0,077615
1388,4333;0,068265
1390,2970;0,063148
1392,1607;0,060468
1394,0244;0,059518
1395,8880;0,060980
1397,7517;0,063674
1399,6154;0,065176
1401,4790;0,065789
1403,3427;0,067463
1405,2064;0,069552
1407,0700;0,069310
1408,9337;0,067397
1410,7974;0,065360
1412,6610;0,062855
1414,5247;0,060291
1416,3884;0,058277
1418,2520;0,055638
1420,1157;0,052351
1421,9794;0,050546
1423,8431;0,049522
1425,7067;0,047666
1427,5704;0,045441
1429,4341;0,043916
1431,2977;0,042734
1433,1614;0,040983
1435,0251;0,039649
1436,8887;0,038612
1438,7524;0,036977
1440,6161;0,036374
1442,4797;0,036888
1444,3434;0,037397
1446,2071;0,038512
1448,0707;0,041772
1449,9344;0,046287
1451,7981;0,050338
1453,6618;0,054042
1455,5254;0,058127
1457,3891;0,061635
1459,2528;0,065486
1461,1164;0,071472
1462,9801;0,077302
1464,8438;0,080621
1466,7074;0,080423
1468,5711;0,075536
1470,4348;0,066567
1472,2984;0,057005
1474,1621;0,049296
1476,0258;0,043553
1477,8895;0,038458
1479,7531;0,033329
1481,6168;0,029974
1483,4805;0,027509
1485,3441;0,024481
1487,2078;0,022107
1489,0715;0,020066
1490,9351;0,017976
1492,7988;0,016715
1494,6625;0,015917
1496,5261;0,014575
1498,3898;0,013289
1500,2535;0,012976
1502,1171;0,013115
